areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-03-05,4529,4217387
overview,United Kingdom,K02000001,2021-03-04,5580,4212858
overview,United Kingdom,K02000001,2021-03-03,5937,4207278
overview,United Kingdom,K02000001,2021-03-02,6640,4201341
overview,United Kingdom,K02000001,2021-03-01,6930,4194701
overview,United Kingdom,K02000001,2021-02-28,4744,4187771
overview,United Kingdom,K02000001,2021-02-27,4839,4183027
overview,United Kingdom,K02000001,2021-02-26,6611,4178188
overview,United Kingdom,K02000001,2021-02-25,7764,4171577
overview,United Kingdom,K02000001,2021-02-24,8560,4163813
overview,United Kingdom,K02000001,2021-02-23,9442,4155253
overview,United Kingdom,K02000001,2021-02-22,11335,4145811
overview,United Kingdom,K02000001,2021-02-21,7902,4134476
overview,United Kingdom,K02000001,2021-02-20,8081,4126574
overview,United Kingdom,K02000001,2021-02-19,10430,4118493
overview,United Kingdom,K02000001,2021-02-18,11433,4108063
overview,United Kingdom,K02000001,2021-02-17,11593,4096630
overview,United Kingdom,K02000001,2021-02-16,12520,4085037
overview,United Kingdom,K02000001,2021-02-15,14320,4072517
overview,United Kingdom,K02000001,2021-02-14,8795,4058197
overview,United Kingdom,K02000001,2021-02-13,8789,4049402
overview,United Kingdom,K02000001,2021-02-12,12193,4040613
overview,United Kingdom,K02000001,2021-02-11,12812,4028420
overview,United Kingdom,K02000001,2021-02-10,13542,4015608
overview,United Kingdom,K02000001,2021-02-09,13856,4002066
overview,United Kingdom,K02000001,2021-02-08,15792,3988210
overview,United Kingdom,K02000001,2021-02-07,11418,3972418
overview,United Kingdom,K02000001,2021-02-06,11980,3961000
overview,United Kingdom,K02000001,2021-02-05,15910,3949020
overview,United Kingdom,K02000001,2021-02-04,18031,3933110
overview,United Kingdom,K02000001,2021-02-03,19467,3915079
overview,United Kingdom,K02000001,2021-02-02,19826,3895612
overview,United Kingdom,K02000001,2021-02-01,22422,3875786
overview,United Kingdom,K02000001,2021-01-31,15442,3853364
overview,United Kingdom,K02000001,2021-01-30,16687,3837922
overview,United Kingdom,K02000001,2021-01-29,21827,3821235
overview,United Kingdom,K02000001,2021-01-28,24114,3799408
overview,United Kingdom,K02000001,2021-01-27,25745,3775294
overview,United Kingdom,K02000001,2021-01-26,27036,3749549
overview,United Kingdom,K02000001,2021-01-25,29993,3722513
overview,United Kingdom,K02000001,2021-01-24,17197,3692520
overview,United Kingdom,K02000001,2021-01-23,21864,3675323
overview,United Kingdom,K02000001,2021-01-22,29609,3653459
overview,United Kingdom,K02000001,2021-01-21,31717,3623850
overview,United Kingdom,K02000001,2021-01-20,35162,3592133
overview,United Kingdom,K02000001,2021-01-19,39548,3556971
overview,United Kingdom,K02000001,2021-01-18,44851,3517423
overview,United Kingdom,K02000001,2021-01-17,28878,3472572
overview,United Kingdom,K02000001,2021-01-16,30555,3443694
overview,United Kingdom,K02000001,2021-01-15,40451,3413139
overview,United Kingdom,K02000001,2021-01-14,42430,3372688
overview,United Kingdom,K02000001,2021-01-13,45448,3330258
overview,United Kingdom,K02000001,2021-01-12,49449,3284810
overview,United Kingdom,K02000001,2021-01-11,57199,3235361
overview,United Kingdom,K02000001,2021-01-10,36361,3178162
overview,United Kingdom,K02000001,2021-01-09,39092,3141801
overview,United Kingdom,K02000001,2021-01-08,47061,3102709
overview,United Kingdom,K02000001,2021-01-07,51970,3055648
overview,United Kingdom,K02000001,2021-01-06,57441,3003678
overview,United Kingdom,K02000001,2021-01-05,65166,2946237
overview,United Kingdom,K02000001,2021-01-04,76195,2881071
overview,United Kingdom,K02000001,2021-01-03,55222,2804876
overview,United Kingdom,K02000001,2021-01-02,60460,2749654
overview,United Kingdom,K02000001,2021-01-01,31856,2689194
overview,United Kingdom,K02000001,2020-12-31,52821,2657338
overview,United Kingdom,K02000001,2020-12-30,70808,2604517
overview,United Kingdom,K02000001,2020-12-29,81566,2533709
overview,United Kingdom,K02000001,2020-12-28,45622,2452143
overview,United Kingdom,K02000001,2020-12-27,47758,2406521
overview,United Kingdom,K02000001,2020-12-26,40371,2358763
overview,United Kingdom,K02000001,2020-12-25,14181,2318392
overview,United Kingdom,K02000001,2020-12-24,31852,2304211
overview,United Kingdom,K02000001,2020-12-23,42282,2272359
overview,United Kingdom,K02000001,2020-12-22,45684,2230077
overview,United Kingdom,K02000001,2020-12-21,47402,2184393
overview,United Kingdom,K02000001,2020-12-20,32472,2136991
overview,United Kingdom,K02000001,2020-12-19,25153,2104519
overview,United Kingdom,K02000001,2020-12-18,35840,2079366
overview,United Kingdom,K02000001,2020-12-17,33892,2043526
overview,United Kingdom,K02000001,2020-12-16,34929,2009634
overview,United Kingdom,K02000001,2020-12-15,33877,1974705
overview,United Kingdom,K02000001,2020-12-14,34738,1940828
overview,United Kingdom,K02000001,2020-12-13,21984,1906090
overview,United Kingdom,K02000001,2020-12-12,19360,1884106
overview,United Kingdom,K02000001,2020-12-11,24089,1864746
overview,United Kingdom,K02000001,2020-12-10,22630,1840657
overview,United Kingdom,K02000001,2020-12-09,21644,1818027
overview,United Kingdom,K02000001,2020-12-08,20795,1796383
overview,United Kingdom,K02000001,2020-12-07,21352,1775588
overview,United Kingdom,K02000001,2020-12-06,13607,1754236
overview,United Kingdom,K02000001,2020-12-05,12789,1740629
overview,United Kingdom,K02000001,2020-12-04,15698,1727840
overview,United Kingdom,K02000001,2020-12-03,15655,1712142
overview,United Kingdom,K02000001,2020-12-02,16455,1696487
overview,United Kingdom,K02000001,2020-12-01,16455,1680032
overview,United Kingdom,K02000001,2020-11-30,18029,1663577
overview,United Kingdom,K02000001,2020-11-29,10688,1645548
overview,United Kingdom,K02000001,2020-11-28,10958,1634860
overview,United Kingdom,K02000001,2020-11-27,14377,1623902
overview,United Kingdom,K02000001,2020-11-26,14572,1609525
overview,United Kingdom,K02000001,2020-11-25,16618,1594953
overview,United Kingdom,K02000001,2020-11-24,16462,1578335
overview,United Kingdom,K02000001,2020-11-23,18774,1561873
overview,United Kingdom,K02000001,2020-11-22,11737,1543099
overview,United Kingdom,K02000001,2020-11-21,12357,1531362
overview,United Kingdom,K02000001,2020-11-20,16859,1519005
overview,United Kingdom,K02000001,2020-11-19,17759,1502146
overview,United Kingdom,K02000001,2020-11-18,20772,1484387
overview,United Kingdom,K02000001,2020-11-17,23184,1463615
overview,United Kingdom,K02000001,2020-11-16,26571,1440431
overview,United Kingdom,K02000001,2020-11-15,16040,1413860
overview,United Kingdom,K02000001,2020-11-14,18004,1397820
overview,United Kingdom,K02000001,2020-11-13,24058,1379816
overview,United Kingdom,K02000001,2020-11-12,24479,1355758
overview,United Kingdom,K02000001,2020-11-11,27364,1331279
overview,United Kingdom,K02000001,2020-11-10,27436,1303915
overview,United Kingdom,K02000001,2020-11-09,31061,1276479
overview,United Kingdom,K02000001,2020-11-08,19966,1245418
overview,United Kingdom,K02000001,2020-11-07,18536,1225452
overview,United Kingdom,K02000001,2020-11-06,23341,1206916
overview,United Kingdom,K02000001,2020-11-05,23771,1183575
overview,United Kingdom,K02000001,2020-11-04,23696,1159804
